[2016/3/20 - 12:17:51] Phi_Gaming (ID: 0 | SQL ID: 3892 | Level: 1 | IP: 203.205.33.106) has logged in.
[2016/3/20 - 12:23:35] Phi_Gaming (ID: 0 | SQL ID: 3892 | Level: 1 | IP: 203.205.33.106) has timed out.
[2016/3/20 - 14:52:35] Anh_Da_Trang (ID: 0 | SQL ID: 3891 | Level: 1 | IP: 117.3.102.251) has logged in.
[2016/3/20 - 14:53:23] Anh_Da_Trang (ID: 0 | SQL ID: 3891 | Level: 1 | IP: 117.3.102.251) has timed out.
[2016/3/20 - 14:54:13] Anh_Da_Trang (ID: 0 | SQL ID: 3891 | Level: 1 | IP: 117.3.102.251) has logged in.
[2016/3/20 - 14:54:53] Mon_Wiliam (ID: 1 | SQL ID: 3893 | Level: 1 | IP: 14.176.105.197) has logged in.
[2016/3/20 - 15:26:08] Nguyen_ThanhDat (ID: 0 | SQL ID: 3886 | Level: 2 | IP: 116.105.194.189) has logged in.
[2016/3/20 - 15:26:28] Nguyen_ThanhDat (ID: 0 | SQL ID: 3886 | Level: 2 | IP: 116.105.194.189) has disconnected.
[2016/3/20 - 15:47:51] Nguyen_ThanhDat (ID: 0 | SQL ID: 3886 | Level: 2 | IP: 116.105.194.189) has logged in.
[2016/3/20 - 15:48:10] Anh_Da_Trang (ID: 1 | SQL ID: 3891 | Level: 1 | IP: 117.3.102.251) has logged in.
[2016/3/20 - 15:58:53] NguyenTran_MinhDat (ID: 2 | SQL ID: 3894 | Level: 1 | IP: 113.180.74.202) has logged in.
[2016/3/20 - 16:04:20] Bin_LaTao (ID: 3 | SQL ID: 3895 | Level: 1 | IP: 1.52.141.176) has logged in.
[2016/3/20 - 16:04:24] Nguyen_ThanhDat (ID: 0 | SQL ID: 3886 | Level: 2 | IP: 116.105.194.189) has disconnected.
[2016/3/20 - 16:04:35] Richard_Leonard (ID: 4 | SQL ID: 3896 | Level: 1 | IP: 115.79.10.187) has logged in.
[2016/3/20 - 16:09:07] Young_Pro (ID: 0 | SQL ID: 3897 | Level: 1 | IP: 117.3.117.44) has logged in.
[2016/3/20 - 16:09:36] Duy_LaTao (ID: 5 | SQL ID: 3898 | Level: 1 | IP: 115.78.207.115) has logged in.
[2016/3/20 - 16:10:24] Tai_LaTao (ID: 6 | SQL ID: 3899 | Level: 1 | IP: 115.78.127.229) has logged in.
[2016/3/20 - 16:11:44] Young_Pro (ID: 0 | SQL ID: 3897 | Level: 1 | IP: 117.3.117.44) has disconnected.
[2016/3/20 - 16:20:24] SjcKey_SimonS (ID: 0 | SQL ID: 3900 | Level: 1 | IP: 42.112.89.75) has logged in.
[2016/3/20 - 16:20:49] Michael_Jordan (ID: 7 | SQL ID: 3901 | Level: 1 | IP: 101.99.52.149) has logged in.
[2016/3/20 - 16:20:55] SjcKey_SimonS (ID: 0 | SQL ID: 3900 | Level: 1 | IP: 42.112.89.75) has disconnected.
[2016/3/20 - 16:21:39] Nguyen_ThanhDat (ID: 0 | SQL ID: 3886 | Level: 2 | IP: 116.105.194.189) has logged in.
[2016/3/20 - 16:21:59] Huy_LaTao (ID: 8 | SQL ID: 3902 | Level: 1 | IP: 123.28.115.30) has logged in.
[2016/3/20 - 16:22:05] Nguyen_ThanhDat (ID: 0 | SQL ID: 3886 | Level: 2 | IP: 116.105.194.189) has timed out.
[2016/3/20 - 16:22:21] Nguyen_ThanhDat (ID: 0 | SQL ID: 3886 | Level: 2 | IP: 116.105.194.189) has logged in.
[2016/3/20 - 16:23:53] Richard_Ivan (ID: 10 | SQL ID: 3903 | Level: 1 | IP: 115.79.10.187) has logged in.
[2016/3/20 - 16:23:58] LamGia_Luan (ID: 9 | SQL ID: 3904 | Level: 1 | IP: 115.79.10.187) has logged in.
[2016/3/20 - 16:24:20] LamGia_Luan (ID: 9 | SQL ID: 3904 | Level: 1 | IP: 115.79.10.187) has disconnected.
[2016/3/20 - 16:25:09] LamGia_Luan (ID: 9 | SQL ID: 3904 | Level: 1 | IP: 115.79.10.187) has logged in.
[2016/3/20 - 16:25:14] LamGia_Luan (ID: 9 | SQL ID: 3904 | Level: 1 | IP: 115.79.10.187) has disconnected.
[2016/3/20 - 16:25:15] Richard_Leonard (ID: 4 | SQL ID: 3896 | Level: 1 | IP: 115.79.10.187) has disconnected.
[2016/3/20 - 16:26:02] Tai_LaTao (ID: 6 | SQL ID: 3899 | Level: 1 | IP: 115.78.127.229) has disconnected.
[2016/3/20 - 16:26:23] LamGia_Luan (ID: 4 | SQL ID: 3904 | Level: 1 | IP: 115.79.10.187) has logged in.
[2016/3/20 - 16:27:40] LamGia_Luan (ID: 4 | SQL ID: 3904 | Level: 1 | IP: 115.79.10.187) has disconnected.
[2016/3/20 - 16:29:21] NguyenTran_MinhDat (ID: 2 | SQL ID: 3894 | Level: 1 | IP: 113.180.74.202) has disconnected.
[2016/3/20 - 16:30:46] Khang_Wilson (ID: 2 | SQL ID: 3905 | Level: 1 | IP: 14.169.249.150) has logged in.
[2016/3/20 - 16:31:10] Quang_LaTao (ID: 4 | SQL ID: 3906 | Level: 1 | IP: 14.183.189.54) has logged in.
[2016/3/20 - 16:33:33] Khang_Wilson (ID: 2 | SQL ID: 3905 | Level: 1 | IP: 14.169.249.150) has disconnected.
[2016/3/20 - 16:34:47] Trang_Sociu (ID: 6 | SQL ID: 3907 | Level: 1 | IP: 113.163.38.229) has logged in.
[2016/3/20 - 16:36:06] Huy_LaTao (ID: 8 | SQL ID: 3902 | Level: 1 | IP: 123.28.115.30) has disconnected.
[2016/3/20 - 16:39:24] Richard_Ivan (ID: 10 | SQL ID: 3903 | Level: 1 | IP: 115.79.10.187) has disconnected.
[2016/3/20 - 16:39:57] Trang_Sociu (ID: 6 | SQL ID: 3907 | Level: 1 | IP: 113.163.38.229) has timed out.
[2016/3/20 - 16:40:26] Trang_Sociu (ID: 2 | SQL ID: 3907 | Level: 1 | IP: 113.163.38.229) has logged in.
[2016/3/20 - 16:42:56] Nguyen_ThanhDat (ID: 0 | SQL ID: 3886 | Level: 2 | IP: 116.105.194.189) has disconnected.
[2016/3/25 - 18:32:02] Nguyen_ThanhDat (ID: 0 | SQL ID: 3886 | Level: 2 | IP: 116.105.192.7) has logged in.
[2016/3/25 - 18:55:23] Jame_Nicolas (ID: 1 | SQL ID: 3908 | Level: 1 | IP: 14.176.100.32) has logged in.
[2016/3/25 - 18:57:20] Nguyen_ThanhDat (ID: 0 | SQL ID: 3886 | Level: 1 | IP: 116.105.192.7) has disconnected.
[2016/3/25 - 18:57:23] Jame_Nicolas (ID: 1 | SQL ID: 3908 | Level: 1 | IP: 14.176.100.32) has disconnected.
[2016/3/25 - 19:02:25] Nguyen_ThanhDat (ID: 0 | SQL ID: 3909 | Level: 1 | IP: 116.105.192.7) has logged in.
[2016/3/25 - 19:04:25] DuThanh_Binh (ID: 1 | SQL ID: 3910 | Level: 1 | IP: 115.78.126.144) has logged in.
[2016/3/25 - 19:06:28] Anh_Huy (ID: 2 | SQL ID: 3911 | Level: 1 | IP: 113.182.31.79) has logged in.
[2016/3/25 - 19:06:32] Jame_Nicolas (ID: 3 | SQL ID: 3912 | Level: 1 | IP: 14.176.100.32) has logged in.
[2016/3/25 - 19:08:05] Aria_Pirates (ID: 4 | SQL ID: 3913 | Level: 1 | IP: 115.78.95.56) has logged in.
[2016/3/25 - 19:10:34] DuThanh_Binh (ID: 1 | SQL ID: 3910 | Level: 1 | IP: 115.78.126.144) has disconnected.
[2016/3/25 - 19:12:10] Anh_Huy (ID: 2 | SQL ID: 3911 | Level: 1 | IP: 113.182.31.79) has disconnected.
[2016/3/25 - 19:17:49] Yuuki_Asuna (ID: 1 | SQL ID: 3914 | Level: 1 | IP: 27.2.127.240) has logged in.
[2016/3/25 - 19:18:46] Battle_Binz (ID: 2 | SQL ID: 3915 | Level: 1 | IP: 115.79.36.137) has logged in.
[2016/3/25 - 19:24:35] Battle_Luan (ID: 5 | SQL ID: 3916 | Level: 1 | IP: 115.79.36.137) has logged in.
[2016/3/25 - 19:24:49] Bin_LaTao (ID: 6 | SQL ID: 3917 | Level: 1 | IP: 1.52.141.250) has logged in.
